adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0001515971-19-000009	1164256	DAYBREAK OIL & GAS, INC.	1311	US	WA	SPOKANE VALLEY	99212	1101 NORTH ARGONNE ROAD	SUITE A 211	(509) 232-7674	US	WA	SPOKANE VALLEY	99212	1101 NORTH ARGONNE ROAD	SUITE A 211	US	WA	910626366	DAYBREAK OIL & GAS, INC.	20120712	4-NON	0	0228	10-Q	20181130	2019	Q3	20190114	2019-01-14 17:23:00.0	0	1	dbrm-20181130.xml	1					
0001515971-19-000011	1405660	ALTERNATIVE INVESTMENT CORP	4813	US	NY	NEW YORK	10022	150 EAST 52ND STREET, SUITE 1102		(917) 297-7248	US	NY	NEW YORK	10022	150 EAST 52ND STREET, SUITE 1102				980568076	PARADIGM RESOURCE MANAGEMENT CORP	20120814	4-NON	0	0930	10-K	20180930	2018	FY	20190115	2019-01-15 16:20:00.0	0	1	aiko-20180930.xml	1		35856.00	20180331		
0001515971-19-000020	1405660	ALTERNATIVE INVESTMENT CORP	4813	US	NY	NEW YORK	10022	150 EAST 52ND STREET, SUITE 1102		(917) 297-7248	US	NY	NEW YORK	10022	150 EAST 52ND STREET, SUITE 1102				980568076	PARADIGM RESOURCE MANAGEMENT CORP	20120814	4-NON	0	0930	10-Q	20181231	2019	Q1	20190219	2019-02-19 16:39:00.0	0	1	aiko-20181231.xml	1					
0001515971-19-000029	1038277	INTERNATIONAL ISOTOPES INC	3823	US	ID	IDAHO FALLS	83401	4137 COMMERCE CIRCLE		2085245300	US	ID	IDAHO FALLS	83401	4137 COMMERCE CIRCLE		US	TX	742763837			4-NON	0	1231	10-K	20181231	2018	FY	20190319	2019-03-19 15:11:00.0	1	1	inis-20181231.xml	1		21000000.00	20180630		
0001515971-19-000031	1038277	INTERNATIONAL ISOTOPES INC	3823	US	ID	IDAHO FALLS	83401	4137 COMMERCE CIRCLE		2085245300	US	ID	IDAHO FALLS	83401	4137 COMMERCE CIRCLE		US	TX	742763837			4-NON	0	1231	10-K/A	20181231	2018	FY	20190322	2019-03-22 11:50:00.0	0	1	inis-20181231.xml	1		21000000.00	20180630		
0001516912-19-000018	1516912	ORIGIN BANCORP, INC.	6022	US	LA	RUSTON	71270	500 S SERVICE ROAD EAST		318-242-7500	US	LA	RUSTON	71270	500 S SERVICE ROAD EAST		US	LA	721192928	ORIGIN BANCORP, INC. ATTN: CHASE ANDERSON	20180912	4-NON	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:34:00.0	0	1	obnk-20181231.xml	1		768000000.00	20180629		
0001517175-19-000003	1517175	CHEFS' WAREHOUSE, INC.	5141	US	CT	RIDGEFIELD	06877	100 EAST RIDGE ROAD		(203) 894-1345	US	CT	RIDGEFIELD	06877	100 EAST RIDGE ROAD		US	DE	203031526	CHEFS' WAREHOUSE HOLDINGS, LLC	20110401	2-ACC	0	1231	10-K	20181231	2018	FY	20190301	2019-03-01 17:03:00.0	0	1	chef-20181228.xml	1		591189824.00	20180629		
0001517302-19-000012	1517302	ARTISAN PARTNERS ASSET MANAGEMENT INC.	6282	US	WI	MILWAUKEE	53202	875 E. WISCONSIN AVENUE	SUITE 800	414-390-6100	US	WI	MILWAUKEE	53202	875 E. WISCONSIN AVENUE	SUITE 800	US	DE	450969585			1-LAF	1	1231	10-K	20181231	2018	FY	20190220	2019-02-20 09:03:00.0	0	1	apam-2018x12x3110xk_htm.xml	1		1614293376.00	20180630		
0001517401-19-000007	1517401	PEAK RESORTS INC	7011	US	MO	WILDWOOD	63025	17409 HIDDEN VALLEY DRIVE		636-938-7474	US	MO	WILDWOOD	63025	17409 HIDDEN VALLEY DRIVE		US	MO	431793922			5-SML	0	0430	10-Q	20190131	2019	Q3	20190313	2019-03-13 16:22:00.0	0	1	skis-20190131.xml	1					
0001518587-19-000008	1518587	ALERIS CORP	3341	US	OH	BEACHWOOD	44122	25825 SCIENCE PARK DRIVE	SUITE 400	(216) 910-3400	US	OH	BEACHWOOD	44122	25825 SCIENCE PARK DRIVE	SUITE 400	US	DE	271539594	ALERIS HOLDING CO	20110420	4-NON	0	1231	10-K	20181231	2018	FY	20190308	2019-03-08 11:55:00.0	0	1	ars-20181231.xml	1		0.00	20180630		
0001518715-19-000056	1518715	HOMESTREET, INC.	6022	US	WA	SEATTLE	98101	601 UNION STREET	SUITE 2000	206-623-3050	US	WA	SEATTLE	98101	601 UNION STREET	SUITE 2000	US	WA	910186600			2-ACC	0	1231	10-K	20181231	2018	FY	20190306	2019-03-06 17:31:00.0	0	1	hmst-20181231x10k_htm.xml	1		620200000.00	20180629		
0001518832-19-000005	1518832	WPX ENERGY, INC.	1311	US	OK	TULSA	74172	ONE WILLIAMS CENTER		918-573-2000	US	OK	TULSA	74172	ONE WILLIAMS CENTER		US	DE	451836028			1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 15:24:00.0	0	1	wpx-20181231_htm.xml	1		7172269056.00	20180630		
0001520006-19-000048	1520006	MATADOR RESOURCES CO	1311	US	TX	DALLAS	75240	5400 LBJ FREEWAY	SUITE 1500	9723715200	US	TX	DALLAS	75240	5400 LBJ FREEWAY	SUITE 1500	US	TX	274662601	MATADOR HOLDCO, INC.	20110505	1-LAF	1	1231	10-K	20181231	2018	FY	20190301	2019-03-01 17:01:00.0	0	1	mtdr-20181231.xml	1		3305546752.00	20180630		
0001520138-19-000006	1718500	REVIV3 PROCARE CO	2844	US	CA	EL MONTE	91731	9480 TELSTAR, SUITE 5		888-638-8883	US	CA	EL MONTE	91731	9480 TELSTAR, SUITE 5		US	DE	474125218			4-NON	0	0531	10-Q	20181130	2019	Q2	20190114	2019-01-14 14:14:00.0	0	1	rviv-20181130.xml	1					
0001520138-19-000027	1580149	BIOVIE INC.	2834	US	CA	LOS ANGELES	90025	11601 WILSHIRE BLVD.	SUITE 1100	312-283-5793	US	CA	LOS ANGELES	90025	11601 WILSHIRE BLVD.	SUITE 1100	US	NV	462510769	NANOANTIBIOTICS, INC.	20130625	4-NON	0	0630	10-Q	20181231	2019	Q2	20190212	2019-02-12 16:31:00.0	0	1	bivi-20181231.xml	1					
0001520138-19-000031	1609472	GH CAPITAL INC.	7372	US	FL	MIAMI	33131	200 SOUTH BISCAYNE BLVD. STE. 2790		561-922-3671	US	FL	MIAMI	33131	200 SOUTH BISCAYNE BLVD. STE. 2790				383955212	GLOBAL HUMAX CAPITAL MANAGEMENT INC.	20140529	4-NON	0	0930	10-Q	20181231	2019	Q1	20190214	2019-02-14 10:12:00.0	0	1	ghhc-20181231.xml	1					
0001520138-19-000046	919175	SUGARMADE, INC.	5110	US	CA	MONROVIA	91016	750 ROYAL OAKS DR. STE. 108		(888) 982-1628	US	CA	MONROVIA	91016	750 ROYAL OAKS DR. STE. 108		US	DE	943008888	DIVERSIFIED OPPORTUNITIES, INC.	20080313	4-NON	0	0630	10-Q	20181231	2019	Q2	20190221	2019-02-21 14:38:00.0	0	1	sgmd-20181231.xml	1					
0001520138-19-000052	1741489	THENABLERS, INC.	8742	US	NY	NEW YORK	10005	30 WALL STREET	8TH FLOOR	6464916601	US	NY	NEW YORK	10005	30 WALL STREET	8TH FLOOR	US	NV	823296328			4-NON	0	1231	10-Q	20180930	2018	Q3	20190314	2019-03-14 17:21:00.0	0	1	then-20180930.xml	1					
0001521332-19-000007	1521332	APTIV PLC	3714	IE		DUBLIN	2	5 HANOVER QUAY	GRAND CANAL DOCK	353-1-259-7013	IE		DUBLIN	2	5 HANOVER QUAY	GRAND CANAL DOCK	JE		000000000	DELPHI AUTOMOTIVE PLC	20110520	1-LAF	1	1231	10-K	20181231	2018	FY	20190204	2019-02-04 16:13:00.0	0	1	aptv-20181231.xml	1		24136538112.00	20180630		
0001521951-19-000019	1521951	FIRST BUSINESS FINANCIAL SERVICES, INC.	6022	US	WI	MADISON	53719	401 CHARMANY DRIVE		608-238-8008	US	WI	MADISON	53744	401 CHARMANY DRIVE	PO BOX 44961	US	WI	391576570	FIRST BUSINESS FINANCIAL SERVICES, INC.	20110527	2-ACC	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:20:00.0	0	1	fbiz-20181231.xml	1		227800000.00	20180630		
0001524223-19-000014	1524223	MANNING & NAPIER, INC.	6282	US	NY	FAIRPORT	14450	290 WOODCLIFF DRIVE		(585) 325-6880	US	NY	FAIRPORT	14450	290 WOODCLIFF DRIVE				452609100			5-SML	0	1231	10-K	20181231	2018	FY	20190327	2019-03-27 15:52:00.0	0	1	mn-20181231.xml	1		45955124.00	20180630		
0001524358-19-000008	1524358	MARRIOTT VACATIONS WORLDWIDE CORP	6531	US	FL	ORLANDO	32821	6649 WESTWOOD BLVD.		407-206-6000	US	FL	ORLANDO	32821	6649 WESTWOOD BLVD.		US	DE	452598330	MARRIOTT VACATIONS WORLDWIDE CORP	20110627	1-LAF	1	1231	10-K	20181231	2018	FY	20190301	2019-03-01 17:34:00.0	0	1	a2018q410-kdocument_htm.xml	1		2644786688.00	20180630		
0001524472-19-000009	1524472	XYLEM INC.	3561	US	NY	RYE BROOK	10573	1 INTERNATIONAL DRIVE		914-304-1700	US	NY	RYE BROOK	10573	1 INTERNATIONAL DRIVE		US	IN	452080495	ITT WCO, INC.	20110628	1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 10:34:00.0	0	1	xyl1231201810k_htm.xml	1		12000000000.00	20180630		
0001524931-19-000023	1524931	CHUY'S HOLDINGS, INC.	5812	US	TX	AUSTIN	78704	1623 TOOMEY ROAD		512-473-2783	US	TX	AUSTIN	78704	1623 TOOMEY ROAD		US	DE	205717694			2-ACC	0	1231	10-K	20181231	2018	FY	20190312	2019-03-12 16:10:00.0	0	1	chuy-20181230.xml	1		517000000.00	20180629		
0001525221-19-000011	1525221	ERA GROUP INC.	4522	US	TX	HOUSTON	77024	818 TOWN & COUNTRY BLVD., SUITE 200		713-369-4700	US	TX	HOUSTON	77024	818 TOWN & COUNTRY BLVD., SUITE 200				721455213	ERA FROUP INC.	20110708	2-ACC	0	1231	10-K	20181231	2018	FY	20190308	2019-03-07 19:07:00.0	0	1	era-20181231.xml	1		261936048.00	20180630		
0001525287-19-000016	1525287	SPRAGUE RESOURCES LP	5171	US	NH	PORTSMOUTH	03801	185 INTERNATIONAL DRIVE		(800) 225-1560	US	NH	PORTSMOUTH	03801	185 INTERNATIONAL DRIVE		US	DE	452637964			2-ACC	0	1231	10-K	20181231	2018	FY	20190314	2019-03-14 16:51:00.0	0	1	srlp-20181231.xml	1		257000000.00	20180629		
0001525773-19-000003	1525773	INTELSAT S.A.	4899	LU		LUXEMBOURG	L-1246	4, rue Albert Borschette		352 27-84-1600	LU		Luxembourg	L-1246	4, rue Albert Borschette				981009418	INTELSAT GLOBAL HOLDINGS S.A.	20110713	1-LAF	1	1231	20-F	20181231	2018	FY	20190220	2019-02-20 16:07:00.0	0	1	i-20181231.xml	1					
0001526113-19-000006	1526113	GLOBAL NET LEASE, INC.	6798	US	NY	NEW YORK	10022	405 PARK AVENUE		212-415-6500	US	NY	NEW YORK	10022	405 PARK AVENUE				452771978	AMERICAN REALTY CAPITAL GLOBAL TRUST, INC.	20120810	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 09:15:00.0	0	1	gnl-20181231.xml	1		1400000000.00	20180630		
0001527166-19-000008	1527166	CARLYLE GROUP L.P.	6282	US	DC	WASHINGTON	20004	C/O THE CARLYLE GROUP	1001 PENNSYLVANIA AVENUE, N.W.	202 729 5626	US	DC	WASHINGTON	20004	C/O THE CARLYLE GROUP	1001 PENNSYLVANIA AVENUE, N.W.	US	DE	452832612			1-LAF	1	1231	10-K	20181231	2018	FY	20190213	2019-02-13 17:01:00.0	0	1	cg-20181231.xml	1		2151317504.00	20180630		
0001527190-19-000003	1527190	NATIONAL CINEMEDIA, LLC	7310	US	CO	CENTENNIAL	80111	6300 S. SYRACUSE WAY	SUITE 300	303-792-3600	US	CO	CENTENNIAL	80111	6300 S. SYRACUSE WAY	SUITE 300	US	DE	202632505			4-NON	0	1231	10-K	20181231	2018	FY	20190225	2019-02-22 18:05:00.0	0	1	ncmllc-20181227.xml	1		0.00	20181227		
0001527469-19-000007	1527469	ATHENE HOLDING LTD	6311	BM		PEMBROKE	HM08	96 PITTS BAY ROAD		441-279-8400	BM		PEMBROKE	HM08	96 PITTS BAY ROAD		BM		980628973			1-LAF	1	1231	10-K	20181231	2018	FY	20190227	2019-02-27 08:27:00.0	0	1	ahl-20181231.xml	1		7900000256.00	20180630		
0001527541-19-000017	1527541	WHEELER REAL ESTATE INVESTMENT TRUST, INC.	6798	US	VA	VIRGINIA BEACH	23452	RIVERSEDGE NORTH	2529 VIRGINIA BEACH BLVD., SUITE 200	757-627-9088	US	VA	VIRGINIA BEACH	23452	RIVERSEDGE NORTH	2529 VIRGINIA BEACH BLVD., SUITE 200	US	MD	452681082			4-NON	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 13:30:00.0	0	1	whlr-20181231.xml	1		35227664.00	20180630		
0001528129-19-000012	1528129	LAREDO PETROLEUM, INC.	1311	US	OK	TULSA	74119	15 W. SIXTH STREET	SUITE 900	918-513-4570	US	OK	TULSA	74119	15 W. SIXTH STREET	SUITE 900	US	DE	453007926	LAREDO PETROLEUM HOLDINGS, INC.	20110816	1-LAF	1	1231	10-K	20181231	2018	FY	20190214	2019-02-14 17:14:00.0	0	1	a2018form10-k_htm.xml	1		1500000000.00	20180630		
0001528396-19-000009	1528396	GUIDEWIRE SOFTWARE, INC.	7372	US	CA	FOSTER CITY	94404	1001 E. HILLSDALE BOULEVARD, SUITE 800		650-357-9100	US	CA	FOSTER CITY	94404	1001 E. HILLSDALE BOULEVARD, SUITE 800		US	DE	364468504			1-LAF	0	0731	10-Q	20190131	2019	Q2	20190307	2019-03-07 16:14:00.0	0	1	gwre-20190131.xml	1					
0001528930-19-000005	1528930	LIBERTY TAX, INC.	6794	US	VA	VIRGINIA BEACH	23454	1716 CORPORATE LANDING PARKWAY		757-493-8855	US	VA	VIRGINIA BEACH	23454	1716 CORPORATE LANDING PARKWAY		US	DE	273561876	JTH HOLDING, INC.	20110830	2-ACC	0	0430	10-Q	20190131	2019	Q3	20190307	2019-03-07 16:12:00.0	0	1	tax-20190131.xml	1					
0001529377-19-000006	1529377	ARES COMMERCIAL REAL ESTATE CORP	6798	US	NY	NEW YORK	10167	245 PARK AVENUE	42ND FLOOR	212.515.3400	US	NY	NEW YORK	10167	245 PARK AVENUE	42ND FLOOR	US	MD	453148087			2-ACC	0	1231	10-K	20181231	2018	FY	20190221	2019-02-21 06:07:00.0	0	1	acre-20181231.xml	1		351140672.00	20180630		
0001529628-19-000019	1529628	SMART SAND, INC.	1400	US	TX	THE WOODLANDS	77380	24 WATERWAY AVENUE, SUITE 350		(281) 231-2660	US	TX	THE WOODLANDS	77380	24 WATERWAY AVENUE, SUITE 350		US	DE	452809926			2-ACC	0	1231	10-K	20181231	2018	FY	20190314	2019-03-14 06:04:00.0	0	1	snd-20181231.xml	1		113607792.00	20180629		
0001530721-19-000006	1530721	CAPRI HOLDINGS LTD	3100	GB		LONDON	WC2B 6UF	33 KINGSWAY		44 207 632 8600	GB		LONDON	WC2B 6UF	33 KINGSWAY				000000000	MICHAEL KORS HOLDINGS LTD	20110920	1-LAF	0	0331	10-Q	20181231	2019	Q3	20190207	2019-02-07 16:07:00.0	0	1	cpri-20181229.xml	1					
0001530950-19-000031	1530950	POST HOLDINGS, INC.	2040	US	MO	ST. LOUIS	63144	2503 S. HANLEY ROAD		314-644-7600	US	MO	ST. LOUIS	63144	2503 S. HANLEY ROAD		US	MO	453355106			1-LAF	0	0930	10-Q	20181231	2019	Q1	20190201	2019-02-01 11:36:00.0	0	1	post-20181231.xml	1					
0001531152-19-000010	1531152	BJ'S WHOLESALE CLUB HOLDINGS, INC.	5331	US	MA	WESTBOROUGH	01581	25 RESEARCH DRIVE		774-512-7400	US	MA	WESTBOROUGH	01581	25 RESEARCH DRIVE		US	DE	452936287	BEACON HOLDING INC.	20110927	4-NON	0	0131	10-K	20190131	2018	FY	20190325	2019-03-25 17:18:00.0	0	1	bj-20190202.xml	1		1178447616.00	20180803		
0001532176-19-000009	872589	REGENERON PHARMACEUTICALS INC	2834	US	NY	TARRYTOWN	10591	777 OLD SAW MILL RIVER ROAD		9148477000	US	NY	TARRYTOWN	10591	777 OLD SAW MILL RIVER ROAD		US	NY	133444607			1-LAF	1	1231	10-K	20181231	2018	FY	20190207	2019-02-07 16:13:00.0	0	1	regn-20181231.xml	1		35740999680.00	20180629		
0001532286-19-000004	1532286	NINE ENERGY SERVICE, INC.	1389	US	TX	HOUSTON	77019	2001 KIRBY DRIVE	SUITE 200	(713) 227-7888	US	TX	HOUSTON	77019	2001 KIRBY DRIVE	SUITE 200	US	DE	800759121	NSC-TRIPOINT, INC.	20111007	4-NON	0	1231	10-K	20181231	2018	FY	20190307	2019-03-07 17:01:00.0	0	1	nine-20181231.xml	1		497531776.00	20180629		
0001533526-19-000032	1533526	GLOBAL BRASS & COPPER HOLDINGS, INC.	3350	US	IL	SCHAUMBURG	60173	475 N. MARTINGALE ROAD	SUITE 1200	847-240-4700	US	IL	SCHAUMBURG	60173	475 N. MARTINGALE ROAD	SUITE 1200			061826563			2-ACC	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:38:00.0	0	1	brss-20181231.xml	1		674200000.00	20180630		
0001533758-19-000005	1533758	HUGHES SATELLITE SYSTEMS CORP	4899	US	CO	ENGLEWOOD	80112	100 INVERNESS TERRACE EAST		303-706-4000	US	CO	ENGLEWOOD	80112	100 INVERNESS TERRACE EAST		US	CO	450897865	HUGHES SATELLITES SYSTEMS CORP	20111028	4-NON	0	1231	10-K	20181231	2018	FY	20190221	2019-02-20 20:26:00.0	0	1	hssc12311810kdocument_htm.xml	1		0.00	20180630		
0001533932-19-000044	1533932	WORLDPAY, INC.	7389	US	OH	SYMMES TOWNSHIP	45249	8500 GOVERNOR'S HILL DRIVE		513-900-5250	US	OH	SYMMES TOWNSHIP	45249	8500 GOVERNOR'S HILL DRIVE		US	DE	264532998	VANTIV, INC.	20111031	1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-26 16:35:00.0	0	1	wp-20181231.xml	1		24600000512.00	20180630		
0001534504-19-000012	1534504	PBF ENERGY INC.	2911	US	NJ	PARSIPPANY	07054	1 SYLVAN WAY		973-455-7500	US	NJ	PARSIPPANY	07054	1 SYLVAN WAY		US	DE	000000000			1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:25:00.0	0	1	pbf-20181231.xml	2	1645026	4728225280.00	20180630		
0001534701-19-000063	1534701	PHILLIPS 66	2911	US	TX	HOUSTON	77042	2331 CITYWEST BLVD.		281-293-6600	US	TX	HOUSTON	77042	2331 CITYWEST BLVD.		US	DE	453779385			1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 13:30:00.0	0	1	psx-20181231.xml	1		52100001792.00	20180629		
0001534992-19-000008	1534992	FIESTA RESTAURANT GROUP, INC.	5812	US	TX	DALLAS	75254	14800 LANDMARK BOULEVARD, SUITE 500		972-702-9300	US	TX	DALLAS	75254	14800 LANDMARK BOULEVARD, SUITE 500		US	DE	900712224			1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-25 20:34:00.0	0	1	frgi-2018q410k_htm.xml	1		675651520.00	20180701		
0001535929-19-000018	1535929	VOYA FINANCIAL, INC.	6311	US	NY	NEW YORK	10169	230 PARK AVENUE		212-309-8200	US	NY	NEW YORK	10169	230 PARK AVENUE		US	DE	521222820	ING U.S., INC.	20120709	1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 16:34:00.0	0	1	q42018voyafinancialinc_htm.xml	1		7600000000.00	20180630		
0001537028-19-000025	1537028	INDEPENDENCE CONTRACT DRILLING, INC.	1381	US	TX	HOUSTON	77070	20475 STATE HIGHWAY 249	SUITE 300	2815981230	US	TX	HOUSTON	77070	20475 STATE HIGHWAY 249	SUITE 300	US	DE	371653648			2-ACC	0	1231	10-K	20181231	2018	FY	20190301	2019-03-01 17:01:00.0	0	1	icd-20181231.xml	1		105951416.00	20180630		
0001537435-19-000016	1537435	TECOGEN INC.	3585	US	MA	WALTHAM	02451	45 FIRST AVENUE		781-466-6400	US	MA	WALTHAM	02451	45 FIRST AVENUE		US	DE	043536131	TECOGEN INC	20111215	4-NON	0	1231	10-K	20181231	2018	FY	20190329	2019-03-28 19:43:00.0	0	1	tgen-20181231.xml	1		65946972.00	20180630		
0001538263-19-000007	1538263	HOMETRUST BANCSHARES, INC.	6035	US	NC	ASHEVILLE	28801	10 WOODFIN STREET		828-259-3939	US	NC	ASHEVILLE	28801	10 WOODFIN STREET		US	MD	000000000	HOMETRUSTBANCSHARES, INC.	20111227	2-ACC	0	0630	10-Q	20181231	2018	Q2	20190208	2019-02-08 16:02:00.0	0	1	htbi-20181231.xml	1					
0001539838-19-000008	1539838	DIAMONDBACK ENERGY, INC.	1311	US	TX	MIDLAND	79701	500 WEST TEXAS	SUITE 1210	405-463-6900	US	OK	OKLAHOMA CITY	73114	9400 N. BROADWAY	SUITE 700	US	DE	000000000			1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-25 06:36:00.0	0	1	fang-20181231.xml	1		11455115264.00	20180630		
0001540947-19-000013	1540947	EQM MIDSTREAM PARTNERS, LP	4922	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE, SUITE 2000		412-395-2688	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE, SUITE 2000		US	DE	371661577	EQT MIDSTREAM PARTNERS, LP	20120131	1-LAF	1	1231	10-K	20181231	2018	FY	20190214	2019-02-14 16:22:00.0	0	1	etrn-20181231.xml	1		3200000000.00	20180629		
0001541119-19-000006	1541119	SOUND FINANCIAL BANCORP, INC.	6035	US	WA	SEATTLE	98121	2005 FIFTH AVENUE	2ND FLOOR	206-448-0884	US	WA	SEATTLE	98121	2005 FIFTH AVENUE	2ND FLOOR			455188530			2-ACC	0	1231	10-K	20181231	2018	FY	20190314	2019-03-14 16:48:00.0	0	1	sfbc-20181231.xml	1		82400000.00	20180630		
0001542447-19-000017	1542447	RREEF PROPERTY TRUST, INC.	6798	US	NY	NEW YORK	10154	345 PARK AVENUE, 24TH FLOOR		212-454-6260	US	NY	NEW YORK	10154	345 PARK AVENUE, 24TH FLOOR		US	MD	454478978	RREEF AMERICA PROPERTY INCOME TRUST, INC.	20120214	4-NON	0	1231	10-K	20181231	2018	FY	20190308	2019-03-08 12:53:00.0	0	1	cinav-20181231.xml	1		0.00	20181231		
0001545654-19-000012	1545654	ALEXANDER & BALDWIN, INC.	6798	US	HI	HONOLULU	96801	822 BISHOP STREET, P.O. BOX 3440		(808) 525-6611	US	HI	HONOLULU	96801	822 BISHOP STREET, P.O. BOX 3440		US	HI	454849780	A & B II, INC.	20120502	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-27 21:07:00.0	0	1	alex-20181231.xml	1		1596749056.00	20180630		
0001545772-19-000003	1545772	BROOKFIELD PROPERTY PARTNERS L.P.	6500	BM		HAMILTON	HM 12	73 FRONT STREET		212-417-7000	US	NY	NEW YORK	10281-1023	BROOKFIELD PLACE	250 VESEY STREET, 15TH FLOOR	BM		000000000			1-LAF	1	1231	20-F	20181231	2018	FY	20190301	2019-03-01 17:22:00.0	0	1	bpy-20181231.xml	1					
0001546380-19-000007	825542	SCOTTS MIRACLE-GRO CO	2870	US	OH	MARYSVILLE	43041	14111 SCOTTSLAWN ROAD		9376440011	US	OH	MARYSVILLE	43041	14111 SCOTTSLAWN ROAD	N/A	US	OH	311414921	SCOTTS COMPANY	19920703	1-LAF	0	0930	10-Q	20181231	2019	Q1	20190206	2019-02-06 16:56:00.0	0	1	smg-20181229.xml	1					
0001546417-19-000035	1546417	BLOOMIN' BRANDS, INC.	5812	US	FL	TAMPA	33607	2202 NORTH WEST SHORE BOULEVARD	SUITE 500	813-282-1225	US	FL	TAMPA	33607	2202 NORTH WEST SHORE BOULEVARD	SUITE 500	US	FL	208023465			1-LAF	1	1231	10-K	20181231	2018	FY	20190227	2019-02-27 16:08:00.0	0	1	blmn-20181230.xml	1		1800000000.00	20180629		
0001547903-19-000017	1547903	NMI HOLDINGS, INC.	6351	US	CA	EMERYVILLE	94608	2100 POWELL STREET, 12TH FLOOR		(855) 530-6642	US	CA	EMERYVILLE	94608	2100 POWELL STREET, 12TH FLOOR		US	DE	454914248			1-LAF	1	1231	10-K	20181231	2018	FY	20190214	2019-02-14 16:16:00.0	0	1	nmih-20181231.xml	1		1052831744.00	20180630		
0001548123-19-000007	1310630	TRAFALGAR RESOURCES, INC.	6770	HK		WANCHAI	0000	SUITE 3102, EVERBRIGHT CENTER	108 GLOUCESTER ROAD	852-3618-8608	HK		WANCHAI	0000	SUITE 3102, EVERBRIGHT CENTER	108 GLOUCESTER ROAD	US	UT	910974149			4-NON	0	0930	10-K	20180930	2018	FY	20190109	2019-01-09 14:21:00.0	0	1	tflg-20180930.xml	1		253425.00	20180331		
0001548123-19-000030	1310630	TRAFALGAR RESOURCES, INC.	6770	HK		WANCHAI	0000	SUITE 3102, EVERBRIGHT CENTER	108 GLOUCESTER ROAD	852-3618-8608	HK		WANCHAI	0000	SUITE 3102, EVERBRIGHT CENTER	108 GLOUCESTER ROAD	US	UT	910974149			4-NON	0	0930	10-Q	20181231	2019	Q1	20190213	2019-02-13 17:24:00.0	0	1	tflg-20181231.xml	1					
0001548123-19-000032	1560905	TORTEC GROUP CORP	8711	US	WY	SHERIDAN	82801	30 N. GOULD ST. SUITE 2489		307-248-9177	US	WY	SHERIDAN	82801	30 N. GOULD ST. SUITE 2489		US	NV	455593622	GEO POINT RESOURCES, INC.	20121023	4-NON	0	0331	10-Q	20181231	2019	Q3	20190214	2019-02-14 12:13:00.0	0	1	trtk-20181231.xml	1					
0001548123-19-000045	1638911	UAS DRONE CORP.	3721	US	FL	PALM BEACH	33480	420 ROYAL PALM WAY, SUITE 100		305-439-5559	US	FL	PALM BEACH	33480	420 ROYAL PALM WAY, SUITE 100		US	NV	473052410			4-NON	0	1231	10-K	20181231	2018	FY	20190329	2019-03-29 08:33:00.0	0	1	cik0001638911-20181231.xml	1		0.00	20180630		
0001549084-19-000002	1549084	EKSO BIONICS HOLDINGS, INC.	3569	US	CA	RICHMOND	94804	1414 HARBOUR WAY SOUTH	SUITE 1201	510-984-1761	US	CA	RICHMOND	94804	1414 HARBOUR WAY SOUTH	SUITE 1201	US	NV	000000000	PN MED GROUP INC	20120503	2-ACC	0	1231	10-K	20181231	2018	FY	20190228	2019-02-28 17:06:00.0	0	1	ekso-20181231.xml	1		69270848.00	20180630		
0001549346-19-000008	1549346	SHUTTERSTOCK, INC.	7374	US	NY	NEW YORK	10118	350 FIFTH AVENUE	21ST FLOOR	646-419-4452	US	NY	NEW YORK	10118	350 FIFTH AVENUE	21ST FLOOR	US	DE	800812659			1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-26 07:09:00.0	0	1	sstk-20181231.xml	1		889122560.00	20180630		
